Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C4, C5, C7",CAP-SMD_BD4.0-L4.3-W4.3-FD,5,.1u,C271438
"C11, C9",CAP-SMD_BD5.0-L5.3-W5.3-FD,2,10u,C280395
"C12, C2, C3, C6",C0805,4,1u,C519978
"C14, C16",CAP-SMD_BD4.0-L4.3-W4.3-FD,2,3.3u,C413533
"C15, C17",C0603,2,2.7n,C107085
"C18, C21",C0603,2,180p,C107041
"C19, C20",CAP-SMD_BD4.0-L4.3-W4.3-FD,2,1u,C271438
C8,C0805,1,.1u,C126469
CN1,AUDIO-SMD_HOOYA_PJ-326,1,TRS_Jack,C2939156
CN2,AUDIO-SMD_HOOYA_PJ-326,1,Mic_Jack,C2939156
CN3,AUDIO-SMD_HOOYA_PJ-326,1,Speaker_Jack,C2939156
D1,LED0603-RD,1,LED0,C72043
D2,LED0603-RD,1,LED1,C72043
D3,LED0603-RD,1,LED2,C72043
D4,LL-34_L3.5-W1.5-RD,1,ZMM5V1_C707194,C707194
H1,PinHeader_1x20_P2.54mm_Vertical,1,Header1,
H2,PinHeader_1x20_P2.54mm_Vertical,1,Header2,
J1,PinHeader_1x04_P2.54mm_Vertical,1,TTL Programming,
J3,PinHeader_1x02_P2.54mm_Horizontal,1,PTT,
J4,PinHeader_1x04_P2.54mm_Vertical,1,SPI Interface,
"R1, R11, R12, R2, R3, R7, R8, R9",R0805,8,0805W8F1002T5E,C17414
"R10, R18, R19, R20",R0805,4,5.1k,C204548
"R15, R17",R0805,2,470,C17710
"R4, R5, R6",R0805,3,2K,C17604
SW1,KEY-TH_4P-L12.0-W12.0-P5.00-LS12.5,1,Button0,C455216
SW2,KEY-TH_4P-L12.0-W12.0-P5.00-LS12.5,1,Button1,C455216
SW3,KEY-TH_4P-L12.0-W12.0-P5.00-LS12.5,1,Button2,C455216
"SW4, SW5",RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm,2,Rotary_Encoder_Switch,
U2,TSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,1,Speaker,C8952
U3,TSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,1,CS5343-CZZR,C323607
U4,SMD-4_L2.7-W4.4-P1.27-LS7.0-BL,1,LTV-217-C-G,C123196
