Designator,Mid X,Mid Y,Rotation,Layer
C1,79.756,-112.776,270.0,top
C11,127.195,-48.625,180.0,bottom
C12,123.19,-51.832,270.0,top
C13,128.016,-50.8,270.0,top
C14,132.452,-52.324,180.0,bottom
C15,137.668,-47.944,90.0,bottom
C16,132.452,-59.944,180.0,bottom
C17,145.288,-61.328,270.0,bottom
C18,133.285,-78.645,0.0,bottom
C19,133.985,-74.835,180.0,bottom
C2,124.825,-62.23,0.0,bottom
C20,132.325,-66.04,180.0,bottom
C21,133.35,-70.42,270.0,bottom
C3,117.745,-62.23,0.0,bottom
C4,125.095,-58.42,0.0,bottom
C5,118.11,-58.42,180.0,bottom
C6,123.444,-56.372,270.0,top
C7,128.016,-57.268,90.0,top
C8,121.92,-47.355,270.0,bottom
C9,117.28,-48.625,0.0,bottom
CN1,70.762,-103.632,90.0,top
CN2,138.295,-56.515,270.0,top
CN3,138.295,-66.04,270.0,top
D1,84.455,-62.23,0.0,top
D2,100.876,-62.23,0.0,top
D3,121.92,-62.23,0.0,top
D4,79.17,-107.315,0.0,top
H1,111.76,-46.99,180.0,bottom
H2,96.52,-46.99,180.0,bottom
J1,138.684,-107.696,0.0,top
J3,71.685,-113.03,180.0,top
J4,68.58,-74.168,180.0,top
R1,106.68,-105.775,270.0,bottom
R10,138.43,-77.74,270.0,bottom
R11,132.588,-47.736,270.0,bottom
R12,137.668,-61.452,90.0,bottom
R15,135.636,-47.768,90.0,bottom
R17,141.224,-61.468,270.0,bottom
R18,142.24,-77.74,270.0,bottom
R19,140.97,-70.785,270.0,bottom
R2,106.68,-113.3,90.0,bottom
R20,137.16,-70.785,270.0,bottom
R3,101.6,-112.665,90.0,bottom
R4,122.92,-69.215,180.0,bottom
R5,104.41,-62.23,0.0,bottom
R6,88.408,-62.23,0.0,bottom
R7,124.46,-85.09,90.0,bottom
R8,123.825,-92.44,270.0,bottom
R9,119.38,-92.44,270.0,bottom
SW1,85.09,-71.12,0.0,top
SW2,104.14,-71.12,90.0,top
SW3,121.92,-71.12,0.0,top
SW4,101.6,-116.84,90.0,top
SW5,119.305,-96.4,90.0,top
U2,121.92,-53.975,90.0,bottom
U3,121.285,-65.675,90.0,bottom
U4,81.915,-102.87,90.0,top
